title,score,genres,ranked,popularity,members,favorites
Sousou no Frieren,9.32,"Adventure, Drama, Fantasy, Shounen",#1,#187,"941,889","56,180"
One Piece Fan Letter,9.16,"Action, Adventure, Fantasy, Shounen",#2,#3026,"57,604","1,564"
Steins;Gate,9.07,"Drama, Sci-Fi, Suspense, Psychological, Time Travel",#4,#14,"2,633,363","192,236"
Fullmetal Alchemist: Brotherhood,9.09,"Action, Adventure, Drama, Fantasy, Military, Shounen",#3,#3,"3,437,111","229,464"
Shingeki no Kyojin Season 3 Part 2,9.05,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#5,#21,"2,364,853","59,839"
Gintama: The Final,9.04,"Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#7,#1540,"159,251","4,385"
Gintama': Enchousen,9.02,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#10,#751,"333,940","3,075"
Gintama',9.03,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#8,#398,"572,556","8,252"
Gintama°,9.05,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#6,#341,"648,719","16,883"
Bleach: Sennen Kessen-hen,9.01,"Action, Adventure, Supernatural, Shounen",#11,#384,"590,742","21,468"
Hunter x Hunter (2011),9.03,"Action, Adventure, Fantasy, Shounen",#9,#8,"2,932,127","215,316"
Bleach: Sennen Kessen-hen - Soukoku-tan,9.0,"Action, Adventure, Supernatural, Shounen",#13,#1566,"155,398","1,947"
Ginga Eiyuu Densetsu,9.01,"Drama, Sci-Fi, Adult Cast, Military, Space",#12,#756,"332,537","16,606"
Fruits Basket: The Final,8.96,"Drama, Romance, Supernatural, Shoujo",#16,#465,"502,948","20,487"
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,"Comedy, Romance, School, Seinen",#14,#170,"983,664","31,866"
Clannad: After Story,8.93,"Drama, Romance, Supernatural",#17,#120,"1,218,594","70,835"
Gintama.,8.98,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#15,#780,"323,657","2,758"
Gintama,8.93,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#18,#143,"1,091,386","59,702"
Koe no Katachi,8.93,"Award Winning, Drama, Shounen",#19,#20,"2,409,471","89,998"
Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power",#21,#47,"1,828,667","77,457"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Time Travel, Shounen",#22,#1023,"246,295","2,120"
Kusuriya no Hitorigoto,8.89,"Drama, Mystery, Historical, Medical",#23,#469,"499,140","14,155"
3-gatsu no Lion 2nd Season,8.91,"Drama, Childcare, Strategy Game, Seinen",#20,#580,"412,154","15,172"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#25,#1228,"205,941","1,059"
Look Back,8.86,"Drama, Otaku Culture, Shounen",#26,#2495,"80,311","1,335"
Monster,8.88,"Drama, Mystery, Suspense, Adult Cast, Psychological, Seinen",#24,#126,"1,179,825","55,336"
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.86,"Drama, Fantasy, Suspense, Isekai, Psychological, Time Travel",#29,#886,"290,798","3,602"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",#28,#293,"712,253","15,985"
Owarimonogatari 2nd Season,8.87,"Comedy, Mystery, Supernatural, Vampire",#27,#584,"410,701","8,811"
Kingdom 3rd Season,8.83,"Action, Historical, Military, Seinen",#32,#2040,"110,640","2,284"
Violet Evergarden Movie,8.85,"Award Winning, Drama",#30,#346,"643,988","9,012"
Gintama.: Shirogane no Tamashii-hen,8.81,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",#33,#1165,"219,478","1,188"
Vinland Saga Season 2,8.81,"Action, Adventure, Drama, Gore, Historical, Seinen",#34,#315,"681,852","16,281"
